video_id,comment_text,text_cleaned,text_removal,text_normalized,text_manual_replaced,text_tokenize,label
video2,"Nah gw setuju sih sma pemikiran dokter Krn sangat tdk mungkin obat"" tersebut tdk melewati berbagai macam pengujian dan gw lebih setuju klu harus diselidiki dari mana akar permasalahannya Krn mungkin saja ada interaksi obat yg 1 dgn yg lain atau interaksi dgn makanan seperti kata dokter tdk bisa langsung disimpulkan bgt saja Krn faktanya obat"" tersebut sdh lama beredar di pasaran dan dikonsumsi oleh masyarakat.
Tapi dlm dunia farmasi antara fakta dan bisnis sulit dipisahkan 😂😂",nah gw setuju sih sma pemikiran dokter krn sangat tdk mungkin obat tersebut tdk melewati berbagai macam pengujian dan gw lebih setuju klu harus diselidiki dari mana akar permasalahannya krn mungkin saja ada interaksi obat yg dgn yg lain atau interaksi dgn makanan seperti kata dokter tdk bisa langsung disimpulkan bgt saja krn faktanya obat tersebut sdh lama beredar di pasaran dan dikonsumsi oleh masyarakat tapi dlm dunia farmasi antara fakta dan bisnis sulit dipisahkan,nah gw tuju sih sma pikir dokter krn sangat tdk mungkin obat sebut tdk lewat bagai macam uji gw lebih tuju klu selidik mana akar masalah krn mungkin ada interaksi obat yg dgn yg atau interaksi dgn makan kata dokter tdk langsung simpul bgt krn fakta obat sebut sdh lama edar pasar konsumsi masyarakat dlm dunia farmasi fakta bisnis sulit pisah,nah gue tuju sih sama pikir dokter karena sangat tidak mungkin obat sebut tidak lewat bagai macam uji gue lebih tuju kalau selidik mana akar masalah karena mungkin ada interaksi obat yang dengan yang atau interaksi dengan makan kata dokter tidak langsung simpul banget karena fakta obat sebut sudah lama edar pasar konsumsi masyarakat dalam dunia farmasi fakta bisnis sulit pisah,nah aku tuju sih sama pikir dokter karena sangat tidak mungkin obat sebut tidak lewat bagai macam uji aku lebih tuju kalau selidik mana akar masalah karena mungkin ada interaksi obat yang dengan yang atau interaksi dengan makan kata dokter tidak langsung simpul banget karena fakta obat sebut sudah lama edar pasar konsumsi masyarakat dalam dunia farmasi fakta bisnis sulit pisah,"['nah', 'aku', 'tuju', 'sih', 'sama', 'pikir', 'dokter', 'karena', 'sangat', 'tidak', 'mungkin', 'obat', 'sebut', 'tidak', 'lewat', 'bagai', 'macam', 'uji', 'aku', 'lebih', 'tuju', 'kalau', 'selidik', 'mana', 'akar', 'masalah', 'karena', 'mungkin', 'ada', 'interaksi', 'obat', 'yang', 'dengan', 'yang', 'atau', 'interaksi', 'dengan', 'makan', 'kata', 'dokter', 'tidak', 'langsung', 'simpul', 'banget', 'karena', 'fakta', 'obat', 'sebut', 'sudah', 'lama', 'edar', 'pasar', 'konsumsi', 'masyarakat', 'dalam', 'dunia', 'farmasi', 'fakta', 'bisnis', 'sulit', 'pisah']",-1
video1,"kata ""buat"" ini ambigu ya....

Mixagrip buat sakit kepala
counterpain buat nyeri otot
Miras buat orang mabuk",kata buat ini ambigu ya mixagrip buat sakit kepala counterpain buat nyeri otot miras buat orang mabuk,kata buat ambigu mixagrip buat sakit kepala counterpain buat nyeri otot miras buat orang mabuk,kata buat ambigu mixagrip buat sakit kepala counterpain buat nyeri otot minuman keras buat orang mabuk,kata buat ambigu mixagrip buat sakit kepala counterpain buat nyeri otot minuman keras buat orang mabuk,"['kata', 'buat', 'ambigu', 'mixagrip', 'buat', 'sakit', 'kepala', 'counterpain', 'buat', 'nyeri', 'otot', 'minuman', 'keras', 'buat', 'orang', 'mabuk']",-1
video1,Muantan dok ... Mencerdaskan,muantan dok mencerdaskan,muantan dok cerdas,muantan dok cerdas,muantan dok cerdas,"['muantan', 'dok', 'cerdas']",1
video3,Kan dok jdi minta foto kn hehe SM dok nti sy klw ktmu dr.selfi jg ya dok hihihi🙏,kan dok jdi minta foto kn hehe sm dok nti sy klw ktmu dr selfi jg ya dok hihihi,kan dok jdi minta foto kn hehe sm dok nti sy klw ktmu dr selfi jg dok hihihi,kan dok jadi meminta foto kan he sama dok nanti saya kalau ketemu dari selfi juga dok hihihi,kan dok jadi meminta foto kan he sama dok nanti aku kalau ketemu dari selfi juga dok hihihi,"['kan', 'dok', 'jadi', 'meminta', 'foto', 'kan', 'he', 'sama', 'dok', 'nanti', 'aku', 'kalau', 'ketemu', 'dari', 'selfi', 'juga', 'dok', 'hihihi']",0
video2,Bener bgt dok...yg lebih membagongkan lg hari ini tadi tiba2 sdh ditemukan obatnya...ckckckck,bener bgt dok yg lebih membagongkan lg hari ini tadi tiba sdh ditemukan obatnya ckckckck,bener bgt dok yg lebih bagong lg hari tadi tiba sdh temu obat ckckckck,benar banget dok yang lebih bagong lagi hari tadi tiba sudah temu obat ckckckck,benar banget dok yang lebih bagong lagi hari tadi tiba sudah temu obat ckckckck,"['benar', 'banget', 'dok', 'yang', 'lebih', 'bagong', 'lagi', 'hari', 'tadi', 'tiba', 'sudah', 'temu', 'obat', 'ckckckck']",-1
video3,tolong dong donk coba cek dikota saya atau dikampung saya,tolong dong donk coba cek dikota saya atau dikampung saya,dong donk coba cek kota atau kampung,dong dong coba cek kota atau kampung,dong dong coba cek kota atau kampung,"['dong', 'dong', 'coba', 'cek', 'kota', 'atau', 'kampung']",0
video1,"Saat ini anak saya demam dokter... apakah boleh Kalau minum bodrexin atau inzana? Kmrn saya ada stok sanmol, pas nonton berita, krn rasa takut, akhirnya terlanjur udah saya buang kmrn, mau beli lg udah di stop di apotik",saat ini anak saya demam dokter apakah boleh kalau minum bodrexin atau inzana kmrn saya ada stok sanmol pas nonton berita krn rasa takut akhirnya terlanjur udah saya buang kmrn mau beli lg udah di stop di apotik,ini anak demam dokter boleh kalau minum bodrexin inzana kmrn ada stok sanmol pas nonton berita krn rasa takut akhir lanjur udah buang kmrn mau beli lg udah stop apotik,ini anak demam dokter boleh kalau minum bodrexin inzana kemarin ada stok sanmol pas menonton berita karena rasa takut akhir lanjur sudah buang kemarin mau beli lagi sudah henti apotik,ini anak demam dokter boleh kalau minum bodrexin inzana kemarin ada stok sanmol pas menonton berita karena rasa takut akhir lanjur sudah buang kemarin mau beli lagi sudah henti apotik,"['ini', 'anak', 'demam', 'dokter', 'boleh', 'kalau', 'minum', 'bodrexin', 'inzana', 'kemarin', 'ada', 'stok', 'sanmol', 'pas', 'menonton', 'berita', 'karena', 'rasa', 'takut', 'akhir', 'lanjur', 'sudah', 'buang', 'kemarin', 'mau', 'beli', 'lagi', 'sudah', 'henti', 'apotik']",-1
video1,"Betul,,,,,BPOM  kunci mslh,,,,,jgn pokus ke obat,,,,jajanan di warung sekarang bermacam2,,,,TDK di kontrol oleh bpom,,,,,",betul bpom kunci mslh jgn pokus ke obat jajanan di warung sekarang bermacam tdk di kontrol oleh bpom,betul bpom kunci mslh jgn pokus obat jajan warung sekarang macam tdk kontrol bpom,betul bpom kunci masalah jangan pokus obat jajan warung sekarang macam tidak kontrol bpom,betul bpom kunci masalah jangan pokus obat jajan warung sekarang macam tidak kontrol bpom,"['betul', 'bpom', 'kunci', 'masalah', 'jangan', 'pokus', 'obat', 'jajan', 'warung', 'sekarang', 'macam', 'tidak', 'kontrol', 'bpom']",-1
video1,Indonesia memang luar biasa,indonesia memang luar biasa,indonesia memang luar biasa,indonesia memang luar biasa,indonesia memang luar biasa,"['indonesia', 'memang', 'luar', 'biasa']",-1
video1,"Setuju ...pastinya ada se suatu pasti akan ter bukti apa sebab dan akibat nya Karna saya selalu minum Syrup jika demam dan batuk .saya suka minum obat anak jika saya sakit Karna lebih cocok .
bisa juga dari minuman dan makanan",setuju pastinya ada se suatu pasti akan ter bukti apa sebab dan akibat nya karna saya selalu minum syrup jika demam dan batuk saya suka minum obat anak jika saya sakit karna lebih cocok bisa juga dari minuman dan makanan,tuju ada se suatu akan ter bukti apa akibat nya karna selalu minum syrup demam batuk suka minum obat anak saya sakit karna lebih cocok juga minum dan makan,tuju ada se suatu akan ter bukti apa akibat nya karena selalu minum syrup demam batuk suka minum obat anak saya sakit karena lebih cocok juga minum dan makan,tuju ada se suatu akan ter bukti apa akibat nya karena selalu minum syrup demam batuk suka minum obat anak aku sakit karena lebih cocok juga minum dan makan,"['tuju', 'ada', 'se', 'suatu', 'akan', 'ter', 'bukti', 'apa', 'akibat', 'nya', 'karena', 'selalu', 'minum', 'syrup', 'demam', 'batuk', 'suka', 'minum', 'obat', 'anak', 'aku', 'sakit', 'karena', 'lebih', 'cocok', 'juga', 'minum', 'dan', 'makan']",1
video1,Apa oleh vaksin dok? Dulu2 obat anak aman aja.. Semenjak vaksin slalu ada yg aneh2... Menurut saya aja sih..,apa oleh vaksin dok dulu obat anak aman aja semenjak vaksin slalu ada yg aneh menurut saya aja sih,apa vaksin dok dulu obat anak aman aja semenjak vaksin slalu yg aneh turut aja sih,apa vaksin dok dulu obat anak aman saja semenjak vaksin selalu yang aneh turut saja sih,apa vaksin dok dulu obat anak aman saja semenjak vaksin selalu yang aneh turut saja sih,"['apa', 'vaksin', 'dok', 'dulu', 'obat', 'anak', 'aman', 'saja', 'semenjak', 'vaksin', 'selalu', 'yang', 'aneh', 'turut', 'saja', 'sih']",-1
video1,Pasti yg nonton video ini sama seperti sya lagi cemas  krn anak ny demam bingung mau kasi obat apa krn berita ny lg heboh obat demam cair menyebabkan gagal ginjal.,pasti yg nonton video ini sama seperti sya lagi cemas krn anak ny demam bingung mau kasi obat apa krn berita ny lg heboh obat demam cair menyebabkan gagal ginjal,yg nonton video sama sya cemas krn anak ny demam bingung mau kasi obat apa krn berita ny lg heboh obat demam cair gagal ginjal,yang menonton video sama saya cemas karena anak nya demam bingung mau kasih obat apa karena berita nya lagi heboh obat demam cair gagal ginjal,yang menonton video sama aku cemas karena anak nya demam bingung mau kasih obat apa karena berita nya lagi heboh obat demam cair gagal ginjal,"['yang', 'menonton', 'video', 'sama', 'aku', 'cemas', 'karena', 'anak', 'nya', 'demam', 'bingung', 'mau', 'kasih', 'obat', 'apa', 'karena', 'berita', 'nya', 'lagi', 'heboh', 'obat', 'demam', 'cair', 'gagal', 'ginjal']",0
video2,Pola hidup sehat & makan yang sehat. Jaga kesehatan aja.,pola hidup sehat makan yang sehat jaga kesehatan aja,pola hidup sehat makan sehat jaga sehat aja,pola hidup sehat makan sehat jaga sehat saja,pola hidup sehat makan sehat jaga sehat saja,"['pola', 'hidup', 'sehat', 'makan', 'sehat', 'jaga', 'sehat', 'saja']",1
video2,Mantap Dok 🙏🏻 biar paham semuanya 👍🙏🏻,mantap dok biar paham semuanya,mantap dok biar paham semua,mantap dok biar paham semua,mantap dok biar paham semua,"['mantap', 'dok', 'biar', 'paham', 'semua']",1
video1,"konten edukasi bermanfaat kaya gini yg harus trending, viral di sosmed dan masuk TV",konten edukasi bermanfaat kaya gini yg harus trending viral di sosmed dan masuk tv,konten edukasi manfaat kaya gin yg trending viral sosmed masuk tv,konten edukasi manfaat kayak gin yang trend viral sosmed masuk tv,konten edukasi manfaat kayak gini yang trend viral sosmed masuk tv,"['konten', 'edukasi', 'manfaat', 'kayak', 'gini', 'yang', 'trend', 'viral', 'sosmed', 'masuk', 'tv']",1
video2,"Yg meresepkan obat2 itu kan dokter, berarti dokterpun ga tau itu obatnya berbahayaa atau tdk....apakah smua dokter tau kandungan yg terkandung didlm obat tsbt berbahaya?",yg meresepkan obat itu kan dokter berarti dokterpun ga tau itu obatnya berbahayaa atau tdk apakah smua dokter tau kandungan yg terkandung didlm obat tsbt berbahaya,yg resep obat kan dokter arti dokter ga tau obat berbahayaa tdk smua dokter tau kandung yg kandung didlm obat tsbt bahaya,yang resep obat kan dokter arti dokter enggak tahu obat berbahayaa tidak semua dokter tahu kandung yang kandung didlm obat tsbt bahaya,yang resep obat kan dokter arti dokter enggak tahu obat berbahayaa tidak semua dokter tahu kandung yang kandung didlm obat tsbt bahaya,"['yang', 'resep', 'obat', 'kan', 'dokter', 'arti', 'dokter', 'enggak', 'tahu', 'obat', 'berbahayaa', 'tidak', 'semua', 'dokter', 'tahu', 'kandung', 'yang', 'kandung', 'didlm', 'obat', 'tsbt', 'bahaya']",-1
video1,Justru kebijakan yang kebablasan itu menimbulkan pertanyaan. ????????,justru kebijakan yang kebablasan itu menimbulkan pertanyaan,justru bijak bablas timbul tanya,justru bijak bablas timbul tanya,justru bijak bablas timbul tanya,"['justru', 'bijak', 'bablas', 'timbul', 'tanya']",-1
video2,"Kalo anak saya batuk, saya kasih obat laserin dan komik.. tapi kalo penurun panas itu proris...,, Termasuk juga gak dok.. ?",kalo anak saya batuk saya kasih obat laserin dan komik tapi kalo penurun panas itu proris termasuk juga gak dok,kalo anak batuk kasih obat laserin komik kalo turun panas proris masuk gak dok,kalau anak batuk kasih obat laserin komik kalau turun panas proris masuk enggak dok,kalau anak batuk kasih obat laserin komik kalau turun panas proris masuk enggak dok,"['kalau', 'anak', 'batuk', 'kasih', 'obat', 'laserin', 'komik', 'kalau', 'turun', 'panas', 'proris', 'masuk', 'enggak', 'dok']",0
video1,"Terima kasih dok .....
Penjelasan nya lebih jelas
Jadi lebih tenang sekarang...
Karena saya sebagai ibu asuh ....dan punya cucu umur baru 3 bulan .....
Informasi nya sangat keren dan bermanfaat....",terima kasih dok penjelasan nya lebih jelas jadi lebih tenang sekarang karena saya sebagai ibu asuh dan punya cucu umur baru bulan informasi nya sangat keren dan bermanfaat,terima kasih dok jelas nya lebih jelas jadi lebih tenang sekarang saya bagai ibu asuh punya cucu umur baru bulan informasi nya sangat keren manfaat,terima kasih dok jelas nya lebih jelas jadi lebih tenang sekarang saya bagai ibu asuh punya cucu umur baru bulan informasi nya sangat keren manfaat,terima kasih dok jelas nya lebih jelas jadi lebih tenang sekarang aku bagai ibu asuh punya cucu umur baru bulan informasi nya sangat keren manfaat,"['terima', 'kasih', 'dok', 'jelas', 'nya', 'lebih', 'jelas', 'jadi', 'lebih', 'tenang', 'sekarang', 'aku', 'bagai', 'ibu', 'asuh', 'punya', 'cucu', 'umur', 'baru', 'bulan', 'informasi', 'nya', 'sangat', 'keren', 'manfaat']",1
video1,Nyimak aja dok 😂😂😂😂,nyimak aja dok,nyimak aja dok,menyimak saja dok,menyimak saja dok,"['menyimak', 'saja', 'dok']",0
video3,Kalo obh anak gmn ya?,kalo obh anak gmn ya,kalo obh anak gmn,kalau obh anak bagaimana,kalau obh anak bagaimana,"['kalau', 'obh', 'anak', 'bagaimana']",0
video1,Trmksh Dr.Richard...sgt mengedukasi,trmksh dr richard sgt mengedukasi,trmksh dr richard sgt edukasi,trmksh dari richard sangat edukasi,trmksh dari richard sangat edukasi,"['trmksh', 'dari', 'richard', 'sangat', 'edukasi']",1
video1,Kalau saya sih dok mending cari aman saja sih ikut dinkes dan bpom. Tpi kalau termorex sih rasanya aman sih. Hanya pertimbangan saja. Kalau saya sih kenapa ga nyari saja obat syrup produksi india yg bermasalah yg masuk Indonesia. Soalnya bisa jadi bukan dietilen glikol dan turunannya yg menyebabkan gagal ginjal akutnya. Karena obat syrup itu kan campurannya banyak. Trus ada faktor resiko lainnya juga,kalau saya sih dok mending cari aman saja sih ikut dinkes dan bpom tpi kalau termorex sih rasanya aman sih hanya pertimbangan saja kalau saya sih kenapa ga nyari saja obat syrup produksi india yg bermasalah yg masuk indonesia soalnya bisa jadi bukan dietilen glikol dan turunannya yg menyebabkan gagal ginjal akutnya karena obat syrup itu kan campurannya banyak trus ada faktor resiko lainnya juga,kalau sih dok mending cari aman sih ikut dinkes bpom tpi kalau termorex sih rasa aman sih timbang kalau sih ga nyari obat syrup produksi india yg masalah yg masuk indonesia soal jadi bukan dietilen glikol turun yg gagal ginjal akut obat syrup kan campur banyak trus faktor resiko juga,kalau sih dok lebih baik cari aman sih ikut dinkes bpom tapi kalau termorex sih rasa aman sih timbang kalau sih enggak mencari obat syrup produksi india yang masalah yang masuk indonesia soal jadi bukan dietilen glikol turun yang gagal ginjal akut obat syrup kan campur banyak terus faktor resiko juga,kalau sih dok lebih baik cari aman sih ikut dinkes bpom tapi kalau termorex sih rasa aman sih timbang kalau sih enggak mencari obat syrup produksi india yang masalah yang masuk indonesia soal jadi bukan dietilen glikol turun yang gagal ginjal akut obat syrup kan campur banyak terus faktor resiko juga,"['kalau', 'sih', 'dok', 'lebih', 'baik', 'cari', 'aman', 'sih', 'ikut', 'dinkes', 'bpom', 'tapi', 'kalau', 'termorex', 'sih', 'rasa', 'aman', 'sih', 'timbang', 'kalau', 'sih', 'enggak', 'mencari', 'obat', 'syrup', 'produksi', 'india', 'yang', 'masalah', 'yang', 'masuk', 'indonesia', 'soal', 'jadi', 'bukan', 'dietilen', 'glikol', 'turun', 'yang', 'gagal', 'ginjal', 'akut', 'obat', 'syrup', 'kan', 'campur', 'banyak', 'terus', 'faktor', 'resiko', 'juga']",0
video1,Kalo orang dewasa pasca kena covid bisa kena efek samping covid seperti gga juga gk dok? Tolong dijawab ya dok terimakasih 🙏,kalo orang dewasa pasca kena covid bisa kena efek samping covid seperti gga juga gk dok tolong dijawab ya dok terimakasih,kalo orang dewasa pasca kena covid kena efek samping covid gga gk dok jawab dok terimakasih,kalau orang dewasa pasca kena covid kena efek samping covid enggak enggak dok jawab dok terimakasih,kalau orang dewasa pasca kena covid kena efek samping covid enggak enggak dok jawab dok terimakasih,"['kalau', 'orang', 'dewasa', 'pasca', 'kena', 'covid', 'kena', 'efek', 'samping', 'covid', 'enggak', 'enggak', 'dok', 'jawab', 'dok', 'terimakasih']",0
