video_id,comment_text,text_cleaned,text_removal,text_normalized,text_manual_replaced,text_tokenize
video1,"Salam sehat dok, saya ingin sedikit komentar ttg obat, di awal thn 2000 say pernah keluhan penyakit ginjL, solusi saya setelah dapet impormasi sYa pernah mengkonsumsi obT sirop batugi, ternyata hasilnya bagus selama tiga hati batu ginjalnya keluar, di awal thn 2022 sY terkena batu gi jal lagi , kemudian saya nyRi sirop batugin katanya ter yTa sudah g produksi lGi,
Apa benR itu ga produksi lGi",salam sehat dok saya ingin sedikit komentar ttg obat di awal thn say pernah keluhan penyakit ginjl solusi saya setelah dapet impormasi sya pernah mengkonsumsi obt sirop batugi ternyata hasilnya bagus selama tiga hati batu ginjalnya keluar di awal thn sy terkena batu gi jal lagi kemudian saya nyri sirop batugin katanya ter yta sudah g produksi lgi apa benr itu ga produksi lgi,salam sehat dok ingin sedikit komentar ttg obat awal thn say pernah keluh sakit ginjl solusi telah dapet impormasi sya pernah konsumsi obt sirop batugi nyata hasil bagus lama tiga hati batu ginjal keluar awal thn sy kena batu gi jal kemudian nyri sirop batugin kata ter yta g produksi lgi apa benr ga produksi lgi,salam sehat dok ingin sedikit komentar tentang obat awal tahun sayang pernah keluh sakit ginjl solusi telah dapat impormasi saya pernah konsumsi obt sirop batugi nyata hasil bagus lama tiga hati batu ginjal keluar awal tahun saya kena batu lagi jal kemudian nyri sirop batugin kata ter yta enggak produksi lagi apa benr enggak produksi lagi,salam sehat dok ingin sedikit komentar tentang obat awal tahun sayang pernah keluh sakit ginjl solusi telah dapat impormasi aku pernah konsumsi obt sirop batugi nyata hasil bagus lama tiga hati batu ginjal keluar awal tahun aku kena batu lagi jal kemudian nyri sirop batugin kata ter yta enggak produksi lagi apa benr enggak produksi lagi,"['salam', 'sehat', 'dok', 'ingin', 'sedikit', 'komentar', 'tentang', 'obat', 'awal', 'tahun', 'sayang', 'pernah', 'keluh', 'sakit', 'ginjl', 'solusi', 'telah', 'dapat', 'impormasi', 'aku', 'pernah', 'konsumsi', 'obt', 'sirop', 'batugi', 'nyata', 'hasil', 'bagus', 'lama', 'tiga', 'hati', 'batu', 'ginjal', 'keluar', 'awal', 'tahun', 'aku', 'kena', 'batu', 'lagi', 'jal', 'kemudian', 'nyri', 'sirop', 'batugin', 'kata', 'ter', 'yta', 'enggak', 'produksi', 'lagi', 'apa', 'benr', 'enggak', 'produksi', 'lagi']"
video1,Kalau gue sih ngunyah kencur sudah cukup meredakan batuk.,kalau gue sih ngunyah kencur sudah cukup meredakan batuk,kalau gue sih ngunyah kencur cukup reda batuk,kalau saya sih ngunyah kencur cukup reda batuk,kalau aku sih ngunyah kencur cukup reda batuk,"['kalau', 'aku', 'sih', 'ngunyah', 'kencur', 'cukup', 'reda', 'batuk']"
video1,Itramol aman gak dokter.. Anak saya dikasih itramol,itramol aman gak dokter anak saya dikasih itramol,itramol aman gak dokter anak kasih itramol,itramol aman enggak dokter anak kasih itramol,itramol aman enggak dokter anak kasih itramol,"['itramol', 'aman', 'enggak', 'dokter', 'anak', 'kasih', 'itramol']"
video1,Haii Dokter!! Mau tanya apakah Vitamin Curcumaplus sudah bisa dikomsumsi utk anak2?,haii dokter mau tanya apakah vitamin curcumaplus sudah bisa dikomsumsi utk anak,hai dokter mau tanya vitamin curcumaplus bisa dikomsumsi utk anak,hai dokter mau tanya vitamin curcumaplus bisa dikomsumsi untuk anak,hai dokter mau tanya vitamin curcumaplus bisa dikomsumsi untuk anak,"['hai', 'dokter', 'mau', 'tanya', 'vitamin', 'curcumaplus', 'bisa', 'dikomsumsi', 'untuk', 'anak']"
video1,Saya itu pengalaman yah dulu setiap konsumsi obat dari dokter istilahnya obat kimia semakin hari semakin parah. Tapi setelah meracik obat herbal tradisional semakin lama semakin sembuh. Bahkan pernah di konsumsi oleh pasien kusta selama 6 bulan sembuh,saya itu pengalaman yah dulu setiap konsumsi obat dari dokter istilahnya obat kimia semakin hari semakin parah tapi setelah meracik obat herbal tradisional semakin lama semakin sembuh bahkan pernah di konsumsi oleh pasien kusta selama bulan sembuh,itu alam yah dulu tiap konsumsi obat dokter istilah obat kimia makin hari makin parah telah racik obat herbal tradisional makin lama makin sembuh bahkan pernah konsumsi pasien kusta lama bulan sembuh,itu alam ya dulu tiap konsumsi obat dokter istilah obat kimia makin hari makin parah telah racik obat herbal tradisional makin lama makin sembuh bahkan pernah konsumsi pasien kusta lama bulan sembuh,itu alam iya dulu tiap konsumsi obat dokter istilah obat kimia makin hari makin parah telah racik obat herbal tradisional makin lama makin sembuh bahkan pernah konsumsi pasien kusta lama bulan sembuh,"['itu', 'alam', 'iya', 'dulu', 'tiap', 'konsumsi', 'obat', 'dokter', 'istilah', 'obat', 'kimia', 'makin', 'hari', 'makin', 'parah', 'telah', 'racik', 'obat', 'herbal', 'tradisional', 'makin', 'lama', 'makin', 'sembuh', 'bahkan', 'pernah', 'konsumsi', 'pasien', 'kusta', 'lama', 'bulan', 'sembuh']"
video1,dicek dulu obatnya baru amplopnya oke ?ngerti kan,dicek dulu obatnya baru amplopnya oke ngerti kan,cek dulu obat baru amplop oke ngerti kan,cek dulu obat baru amplop oke mengerti kan,cek dulu obat baru amplop oke mengerti kan,"['cek', 'dulu', 'obat', 'baru', 'amplop', 'oke', 'mengerti', 'kan']"
video1,Dok mau nanya sanmol drop aman di minum?,dok mau nanya sanmol drop aman di minum,dok mau nanya sanmol drop aman minum,dok mau bertanya sanmol drop aman minum,dok mau bertanya sanmol drop aman minum,"['dok', 'mau', 'bertanya', 'sanmol', 'drop', 'aman', 'minum']"
video1,"ijin bertanya pak dok
Syrup PIM TRA KOL obat batuk aman untuk anak2 ga dok",ijin bertanya pak dok syrup pim tra kol obat batuk aman untuk anak ga dok,ijin tanya pak dok syrup pim tra kol obat batuk aman anak ga dok,ijin tanya pak dok syrup pim tra kol obat batuk aman anak enggak dok,ijin tanya pak dok syrup pim tra kol obat batuk aman anak enggak dok,"['ijin', 'tanya', 'pak', 'dok', 'syrup', 'pim', 'tra', 'kol', 'obat', 'batuk', 'aman', 'anak', 'enggak', 'dok']"
video1,lagi batuk keras mana sirop susah di cari gk ngerti udh ma pemerintahan... ingin masyarakat sehat namun di persulit,lagi batuk keras mana sirop susah di cari gk ngerti udh ma pemerintahan ingin masyarakat sehat namun di persulit,batuk keras mana sirop susah cari gk ngerti udh ma perintah masyarakat sehat di sulit,batuk keras mana sirop susah cari enggak mengerti sudah sama perintah masyarakat sehat di sulit,batuk keras mana sirop susah cari enggak mengerti sudah sama perintah masyarakat sehat di sulit,"['batuk', 'keras', 'mana', 'sirop', 'susah', 'cari', 'enggak', 'mengerti', 'sudah', 'sama', 'perintah', 'masyarakat', 'sehat', 'di', 'sulit']"
video1,dok bukan paracetamol aja.. vitamin memperbaiki nafsu makan juga di stop. di tempat ku apotek nya ga mau jualin vitamin yg bntukan sirup 🥲 semoga apotek nya tetap laris manis,dok bukan paracetamol aja vitamin memperbaiki nafsu makan juga di stop di tempat ku apotek nya ga mau jualin vitamin yg bntukan sirup semoga apotek nya tetap laris manis,dok bukan paracetamol aja vitamin baik nafsu makan stop di tempat ku apotek nya ga mau jualin vitamin yg bntukan sirup moga apotek nya tetap laris manis,dok bukan paracetamol saja vitamin baik nafsu makan henti di tempat ku apotek nya enggak mau jualin vitamin yang bntukan sirup moga apotek nya tetap laris manis,dok bukan paracetamol saja vitamin baik nafsu makan henti di tempat ku apotek nya enggak mau jualin vitamin yang bntukan sirup semoga apotek nya tetap laris manis,"['dok', 'bukan', 'paracetamol', 'saja', 'vitamin', 'baik', 'nafsu', 'makan', 'henti', 'di', 'tempat', 'ku', 'apotek', 'nya', 'enggak', 'mau', 'jualin', 'vitamin', 'yang', 'bntukan', 'sirup', 'semoga', 'apotek', 'nya', 'tetap', 'laris', 'manis']"
video1,"Anak syah ajh masih minum obat sirup tapi ga pph  ini lagi masih musim pilek batuk .
Kalo kata orang tua dulu mah .panca roba. 
Perubahan  cuwaca",anak syah ajh masih minum obat sirup tapi ga pph ini lagi masih musim pilek batuk kalo kata orang tua dulu mah panca roba perubahan cuwaca,anak syah ajh minum obat sirup ga pph lagi musim pilek batuk kalo kata orang tua dulu mah panca roba ubah cuwaca,anak syah saja minum obat sirup enggak pph lagi musim pilek batuk kalau kata orang tua dulu mah panca roba ubah cuwaca,anak syah saja minum obat sirup enggak pph lagi musim pilek batuk kalau kata orang tua dulu mah panca roba ubah cuwaca,"['anak', 'syah', 'saja', 'minum', 'obat', 'sirup', 'enggak', 'pph', 'lagi', 'musim', 'pilek', 'batuk', 'kalau', 'kata', 'orang', 'tua', 'dulu', 'mah', 'panca', 'roba', 'ubah', 'cuwaca']"
video1,Dok Nutrimax C&C Aman kah?,dok nutrimax c c aman kah,dok nutrimax c c aman,dok nutrimax sih sih aman,dok nutrimax sih sih aman,"['dok', 'nutrimax', 'sih', 'sih', 'aman']"
video1,Dr Richard kalo bener ada obat menggunakan etlinglikol saya pernah kerja di pabrik benang untuk bahan kain Itu di gunakan untuk melarutkan TPA teret talit acid sesudah di larutkan menjadi bahan benang yang di panaskan menjadi bahan plastik menjadi benang untuk bikin kain yaitu jadi benang folister gitu Dr,dr richard kalo bener ada obat menggunakan etlinglikol saya pernah kerja di pabrik benang untuk bahan kain itu di gunakan untuk melarutkan tpa teret talit acid sesudah di larutkan menjadi bahan benang yang di panaskan menjadi bahan plastik menjadi benang untuk bikin kain yaitu jadi benang folister gitu dr,dr richard kalo bener obat etlinglikol pernah kerja pabrik benang bahan kain di larut tpa teret talit acid di larut jadi bahan benang di panas jadi bahan plastik jadi benang untuk bikin kain jadi benang folister gitu dr,dari richard kalau benar obat etlinglikol pernah kerja pabrik benang bahan kain di larut tpa teret talit acid di larut jadi bahan benang di panas jadi bahan plastik jadi benang untuk bikin kain jadi benang folister begitu dari,dari richard kalau benar obat etlinglikol pernah kerja pabrik benang bahan kain di larut tpa teret talit acid di larut jadi bahan benang di panas jadi bahan plastik jadi benang untuk bikin kain jadi benang folister begitu dari,"['dari', 'richard', 'kalau', 'benar', 'obat', 'etlinglikol', 'pernah', 'kerja', 'pabrik', 'benang', 'bahan', 'kain', 'di', 'larut', 'tpa', 'teret', 'talit', 'acid', 'di', 'larut', 'jadi', 'bahan', 'benang', 'di', 'panas', 'jadi', 'bahan', 'plastik', 'jadi', 'benang', 'untuk', 'bikin', 'kain', 'jadi', 'benang', 'folister', 'begitu', 'dari']"
video1,Uni bebi cocok bgt pdhl murah jg,uni bebi cocok bgt pdhl murah jg,uni bebi cocok bgt pdhl murah jg,uni bebi cocok banget padahal murah juga,uni bebi cocok banget padahal murah juga,"['uni', 'bebi', 'cocok', 'banget', 'padahal', 'murah', 'juga']"
video1,BPOM apa kerjanya???,bpom apa kerjanya,bpom apa kerja,bpom apa kerja,bpom apa kerja,"['bpom', 'apa', 'kerja']"
video1,Maaff dok.. Obat syirup PASABA  cough and flu... Itu bahaya gk dok. ?? Mohon di jawab dok..,maaff dok obat syirup pasaba cough and flu itu bahaya gk dok mohon di jawab dok,maaff dok obat syirup pasaba cough and flu bahaya gk dok mohon jawab dok,maaff dok obat syirup pasaba cough and flu bahaya enggak dok mohon jawab dok,maaff dok obat syirup pasaba cough and flu bahaya enggak dok mohon jawab dok,"['maaff', 'dok', 'obat', 'syirup', 'pasaba', 'cough', 'and', 'flu', 'bahaya', 'enggak', 'dok', 'mohon', 'jawab', 'dok']"
video1,Kenapa gak dari dulu pak..kok baru skarang sih dikasih taunya,kenapa gak dari dulu pak kok baru skarang sih dikasih taunya,gak dulu pak kok baru skarang sih kasih tau,enggak dulu pak kok baru sekarang sih kasih tahu,enggak dulu pak kok baru sekarang sih kasih tahu,"['enggak', 'dulu', 'pak', 'kok', 'baru', 'sekarang', 'sih', 'kasih', 'tahu']"
video1,Lucunya negeriku. Belajar dri kasus dokter jga aneh dok.. bisa aja pengalihan isu sih sebenernya. Tetap semangat bikin rakyat makin cerdas dok. 👍,lucunya negeriku belajar dri kasus dokter jga aneh dok bisa aja pengalihan isu sih sebenernya tetap semangat bikin rakyat makin cerdas dok,lucu negeri ajar dri kasus dokter jga aneh dok aja alih isu sih sebenernya tetap semangat bikin rakyat makin cerdas dok,lucu negeri ajar dari kasus dokter juga aneh dok saja alih isu sih sebenarnya tetap semangat bikin rakyat makin cerdas dok,lucu negeri ajar dari kasus dokter juga aneh dok saja alih isu sih sebenarnya tetap semangat bikin rakyat makin cerdas dok,"['lucu', 'negeri', 'ajar', 'dari', 'kasus', 'dokter', 'juga', 'aneh', 'dok', 'saja', 'alih', 'isu', 'sih', 'sebenarnya', 'tetap', 'semangat', 'bikin', 'rakyat', 'makin', 'cerdas', 'dok']"
video1,Untuk bayi 5 bln boleh gak minum Praxion Suspensi dok ...,untuk bayi bln boleh gak minum praxion suspensi dok,bayi bln gak minum praxion suspensi dok,bayi bulan enggak minum praxion suspensi dok,bayi bulan enggak minum praxion suspensi dok,"['bayi', 'bulan', 'enggak', 'minum', 'praxion', 'suspensi', 'dok']"
video1,Mksh dokter penjelasan nya jdi mengerti skrng,mksh dokter penjelasan nya jdi mengerti skrng,mksh dokter jelas nya jdi erti skrng,terima kasih dokter jelas nya jadi erti sekarang,terima kasih dokter jelas nya jadi erti sekarang,"['terima', 'kasih', 'dokter', 'jelas', 'nya', 'jadi', 'erti', 'sekarang']"
video1,"Itulah Indonesia, india yang buat,Afrika yang kejadian,indonesia yang heboh.
Apa"" itu harus tenang tapi teliti gk usah heboh"" dulu.
Karena pengguna medsos tu gk sedikit orang jadi berita hoax mudah menyebar cari yang benar dulu, ya ibarat nonton chanel dokter richard",itulah indonesia india yang buat afrika yang kejadian indonesia yang heboh apa itu harus tenang tapi teliti gk usah heboh dulu karena pengguna medsos tu gk sedikit orang jadi berita hoax mudah menyebar cari yang benar dulu ya ibarat nonton chanel dokter richard,indonesia india buat afrika jadi indonesia heboh apa harus tenang teliti gk usah heboh dulu guna medsos tu gk sedikit orang jadi berita hoax mudah sebar cari benar dulu ibarat nonton chanel dokter richard,indonesia india buat afrika jadi indonesia heboh apa harus tenang teliti enggak perlu heboh dulu guna medsos itu enggak sedikit orang jadi berita isu bohong mudah sebar cari benar dulu ibarat menonton chanel dokter richard,indonesia india buat afrika jadi indonesia heboh apa harus tenang teliti enggak perlu heboh dulu guna medsos itu enggak sedikit orang jadi berita isu bohong mudah sebar cari benar dulu ibarat menonton chanel dokter richard,"['indonesia', 'india', 'buat', 'afrika', 'jadi', 'indonesia', 'heboh', 'apa', 'harus', 'tenang', 'teliti', 'enggak', 'perlu', 'heboh', 'dulu', 'guna', 'medsos', 'itu', 'enggak', 'sedikit', 'orang', 'jadi', 'berita', 'isu', 'bohong', 'mudah', 'sebar', 'cari', 'benar', 'dulu', 'ibarat', 'menonton', 'chanel', 'dokter', 'richard']"
video1,"waduh ada obat2 yang ga sesuai aturan jadi ketauan, apakah mereka lebih advance daripada bpom?",waduh ada obat yang ga sesuai aturan jadi ketauan apakah mereka lebih advance daripada bpom,waduh obat ga sesuai atur jadi tau mereka lebih advance bpom,waduh obat enggak sesuai atur jadi tahu mereka lebih advance bpom,waduh obat enggak sesuai atur jadi tahu mereka lebih advance bpom,"['waduh', 'obat', 'enggak', 'sesuai', 'atur', 'jadi', 'tahu', 'mereka', 'lebih', 'advance', 'bpom']"
video1,Brarti yg salh itu spa dok..,brarti yg salh itu spa dok,brarti yg salh spa dok,berarti yang salh siapa dok,berarti yang salh siapa dok,"['berarti', 'yang', 'salh', 'siapa', 'dok']"
video1,walaupun saya dengar penjelasan doktor. syukurlah kata2 doktor itu ingatkn Tuhan.,walaupun saya dengar penjelasan doktor syukurlah kata doktor itu ingatkn tuhan,walaupun dengar jelas doktor syukur kata doktor ingatkn tuhan,walaupun dengar jelas doktor syukur kata doktor ingatkn tuhan,walaupun dengar jelas doktor syukur kata doktor ingatkn tuhan,"['walaupun', 'dengar', 'jelas', 'doktor', 'syukur', 'kata', 'doktor', 'ingatkn', 'tuhan']"
video1,Terima kasih dok,terima kasih dok,terima kasih dok,terima kasih dok,terima kasih dok,"['terima', 'kasih', 'dok']"
video1,Menit 9:00 makasih dok sarannya 🙏,menit makasih dok sarannya,menit makasih dok saran,menit terima kasih dok saran,menit terima kasih dok saran,"['menit', 'terima', 'kasih', 'dok', 'saran']"
video1,"Karena BPOM gak jelas kerjanya apa, BPOM abal².

Cuman terbitkan nomor BPOM aja 

Tidak ada di test, di teliti, asal lewat !!!

Yg penting uang masuk",karena bpom gak jelas kerjanya apa bpom abal  cuman terbitkan nomor bpom aja tidak ada di test di teliti asal lewat yg penting uang masuk,bpom gak jelas kerja apa bpom abal cuman terbit nomor bpom aja ada test teliti asal lewat yg penting uang masuk,bpom enggak jelas kerja apa bpom abal Cuma terbit nomor bpom saja ada test teliti asal lewat yang penting uang masuk,bpom enggak jelas kerja apa bpom abal Cuma terbit nomor bpom saja ada test teliti asal lewat yang penting uang masuk,"['bpom', 'enggak', 'jelas', 'kerja', 'apa', 'bpom', 'abal', 'Cuma', 'terbit', 'nomor', 'bpom', 'saja', 'ada', 'test', 'teliti', 'asal', 'lewat', 'yang', 'penting', 'uang', 'masuk']"
video1,"@dr.Richard lee,MARS dok tlg dong riview vitamin yg lagi viral di tiktok..coolvita ntuk penggemuk badan,aman ga dok ?",dr richard lee mars dok tlg dong riview vitamin yg lagi viral di tiktok coolvita ntuk penggemuk badan aman ga dok,dr richard lee mars dok tlg dong riview vitamin yg viral tiktok coolvita ntuk gemuk badan aman ga dok,dari richard lee mars dok tolong dong riview vitamin yang viral tiktok coolvita ntuk gemuk badan aman enggak dok,dari richard lee mars dok tolong dong riview vitamin yang viral tiktok coolvita ntuk gemuk badan aman enggak dok,"['dari', 'richard', 'lee', 'mars', 'dok', 'tolong', 'dong', 'riview', 'vitamin', 'yang', 'viral', 'tiktok', 'coolvita', 'ntuk', 'gemuk', 'badan', 'aman', 'enggak', 'dok']"
video1,Dok klo sanmol paracetamol aman kah,dok klo sanmol paracetamol aman kah,dok klo sanmol paracetamol aman,dok kalo sanmol paracetamol aman,dok kalo sanmol paracetamol aman,"['dok', 'kalo', 'sanmol', 'paracetamol', 'aman']"
video1,OBH combi aman ga... ini saya mau minum jadi takut,obh combi aman ga ini saya mau minum jadi takut,obh combi aman ga saya mau minum jadi takut,obh combi aman enggak saya mau minum jadi takut,obh combi aman enggak aku mau minum jadi takut,"['obh', 'combi', 'aman', 'enggak', 'aku', 'mau', 'minum', 'jadi', 'takut']"
video1,Kalau sanmol sirup untuk bayi usia 0-12tahun masih amankah pak dokter,kalau sanmol sirup untuk bayi usia tahun masih amankah pak dokter,kalau sanmol sirup bayi usia tahun aman pak dokter,kalau sanmol sirup bayi usia tahun aman pak dokter,kalau sanmol sirup bayi usia tahun aman pak dokter,"['kalau', 'sanmol', 'sirup', 'bayi', 'usia', 'tahun', 'aman', 'pak', 'dokter']"
video1,"warung soto aja bisa berubah rasa ...dari tahun ke tahun, karena ada perubahan bahan baku..pabrik obat juga gitu, makanya BPOM pemeriksaan sample itu rutin bukan pas awal ngajuin ijin..setelah itu lossss",warung soto aja bisa berubah rasa dari tahun ke tahun karena ada perubahan bahan baku pabrik obat juga gitu makanya bpom pemeriksaan sample itu rutin bukan pas awal ngajuin ijin setelah itu lossss,warung soto aja ubah rasa tahun tahun ada ubah bahan baku pabrik obat gitu makanya bpom periksa sample rutin bukan pas awal ngajuin ijin itu lossss,warung soto saja ubah rasa tahun tahun ada ubah bahan baku pabrik obat begitu makanya bpom periksa sample rutin bukan pas awal mengajukan ijin itu lossss,warung soto saja ubah rasa tahun tahun ada ubah bahan baku pabrik obat begitu makanya bpom periksa sample rutin bukan pas awal mengajukan ijin itu lossss,"['warung', 'soto', 'saja', 'ubah', 'rasa', 'tahun', 'tahun', 'ada', 'ubah', 'bahan', 'baku', 'pabrik', 'obat', 'begitu', 'makanya', 'bpom', 'periksa', 'sample', 'rutin', 'bukan', 'pas', 'awal', 'mengajukan', 'ijin', 'itu', 'lossss']"
video1,Parahh bangett BPOM ckckck tugas lu ngpain aja dikantor,parahh bangett bpom ckckck tugas lu ngpain aja dikantor,parahh bangett bpom ckckck tugas lu ngpain aja kantor,parah banget bpom ckckck tugas kamu ngpain saja kantor,parah banget bpom ckckck tugas kamu ngpain saja kantor,"['parah', 'banget', 'bpom', 'ckckck', 'tugas', 'kamu', 'ngpain', 'saja', 'kantor']"
video1,"mencerahkan,.,.semoga anda sehat selalu dok,.,.aminnn",mencerahkan semoga anda sehat selalu dok aminnn,cerah moga sehat selalu dok aminnn,cerah moga sehat selalu dok amin,cerah semoga sehat selalu dok amin,"['cerah', 'semoga', 'sehat', 'selalu', 'dok', 'amin']"
video1,"Dok, tolong cek kandungan handbody dermastell 🙌🙌🙌🙌",dok tolong cek kandungan handbody dermastell,dok cek kandung handbody dermastell,dok cek kandung handbody dermastell,dok cek kandung handbody dermastell,"['dok', 'cek', 'kandung', 'handbody', 'dermastell']"
video1,Ini lah klo rezim ny planga plongo dan di atur oligarki kay gini kenapa indonesia yang repot ini kan akal akalan rezim,ini lah klo rezim ny planga plongo dan di atur oligarki kay gini kenapa indonesia yang repot ini kan akal akalan rezim,lah klo rezim ny planga plongo di atur oligarki kay gin indonesia repot kan akal akal rezim,lah kalo rezim nya planga plongo di atur oligarki kay gin indonesia repot kan akal akal rezim,lah kalo rezim nya planga plongo di atur oligarki kay gini indonesia repot kan akal akal rezim,"['lah', 'kalo', 'rezim', 'nya', 'planga', 'plongo', 'di', 'atur', 'oligarki', 'kay', 'gini', 'indonesia', 'repot', 'kan', 'akal', 'akal', 'rezim']"
video1,Dkter hbt ini mah suka klo pnya dkter cerdas kek gini..,dkter hbt ini mah suka klo pnya dkter cerdas kek gini,dkter hbt mah suka klo pnya dkter cerdas kek gin,dkter hbt mah suka kalo punya dkter cerdas kayak gin,dkter hbt mah suka kalo punya dkter cerdas kayak gini,"['dkter', 'hbt', 'mah', 'suka', 'kalo', 'punya', 'dkter', 'cerdas', 'kayak', 'gini']"
