text_manual_replaced,label
kok dok alfa aku baru beli beberapa hari lalu obat sirup karena belum engah banget soal gagal ginjal akut nan misterius eh setelah beli teman baru pada ramai jdnya sudah trlanjur tapi enggak aku minumin anak karena sudah tuju sembuh mana aku panik karena paracetamol anak sih termorex plus dok aduh cptan dong ketahuan itu termorex benaran bahaya enggak sih kan mas pandemi jadi otomatis sakit kayak demam itu jadi sering karena kan anak sudah sekolah tatap muka jadi rentan kena sakit flu batuk demam biasa cuma yang dtakutkan obat yang larang dadak alangkah baik ketahuan dengan sgera di beri solusi yang paten karena sangkut anak kan cemas sbnrnya dok tapi makas dok dengar yutub kamu jadi cerah ku subscribe biar kalo informasi obat anak aku jadi tahu,-1
mungkin gara vaksin,0
anak sering minum obat syrup unibebi cough syrup sudah tahun bahkan alhamdulillah cocok langsung turun panas demam nya malam nya minum unibebi cough syrup pagi langsung turun panas mudah mudah ada jadi bikin takut komposisi unibebi cough syrup tiap ml kandung paracetamol semoga guaifenesin semoga chlorphenamine maleate semoga bagaimana tanggap pak dokter lihat komposisi dalam obat unibebi cough syrup tunggu jawab unibebi cough syrup produksi pt universal pharmaceutical industries medan indonesia,1
terima kasih informasi dokter,0
benar dok kok dadak sedang deh pakai deh sekian tahun kalo memang bahaya kalau begitu henti sekarang percuma deh minum,-1
kalau tidak berani coba,0
terus kita bagai masyarakat minum nya obat apa kalau begitu dok semua obat masalah wkwkwkwkw semua sudah pernah coba salah satu,1
sibuk obattan semua coba bpom cek minum kemas betul minum anak jaman kini sehat konsumsi sibuk menahan obat padahal minum yang sehat,-1
yang lebih heboh yang gugat ijazah palsu sama mukidi yang ngegas ugm,-1
dokter abal allah yang maha sembuh bukan sirup jarum suntik obat tan kimia yang dokter ricar punya,0
benar dokter di indonesia jadi yang sama tidak menteri ku hilang hacker masuk berita obat sirup pimpin suka buat berita mana hacker itu begitu saja hahhahhahahah lucu,-1
maaf negeri selalu trading dengan berita yang enggak di terima sama otak turut itu cuma alih isu sambo cs eee muncul dengan sih ceker ayam yang nama bjorka mengaku hacker kasusny hilang ee yerbaaru izajah palsu muncul kanjuruhan manjur keluar jurus nakura dgy judul gagal nasi tunjang dengan nya berita naasi gagal nasi tunjang kabur ijazah palsu,-1
apa hukum ada uu yang lindung warga negara yang jadi korban ada uu yang jerat produsen obat ini bunuh rencana apa peran bpom apa yang awas,-1
sangat jelas dari jelas dokter buat edukasi masyarakat,0
enggak perlu obat makan saja sangat gizi kalo india,0
kemarin beli obh combi anak boleh jual nyata logo halal bebas alkohol turun,0
pki topi kaca mata hitam dok soal dokter kan viral jadi banyak yang tahu kenal,0
mungkin kemenkes mau teliti cemar selain eg deg cari tahu ada interaksi kombinasi bahan aktif ada daftar obat sebut kan enggak semua obat guna eg deg bagai larut sedia dry syrup suspensi memang kes buru ambil putus bisa rugi banyak pihak masyarakat bingung apoteker juga bingung mencari sedia yang cocok buat anak semoga cepat telusur ada solusi yang baik untuk semua pihak,-1
mungkin efek vaksin jadi pungsi ginja turun jadi bukan obat ginjal lemah,0
kalo tablet saja tumbuk jadi bubuk campur air susu kasih anak bisa dok bisa,0
enggak jelas sirup kering juga diimasukkan,0
bagi besar emak emak yang heboh,0
waduh karyawan jangan sampai dpecat karyawannya gede rasa video bagus video doc,1
yang lebih masuk akal coba cek hubungan vaksin baik vaksin bian yang trbaru untuk anak vaksin covd dengan jadi hari,0
tahun lebih obat bisa survive memang sih kalau sakit lama juga alumni covid hari panas luar biasa sembuh minggu obat semua gantung pilih instan alami jangan perintah paksa pilih saran pilih biar sangkut pilih harga hak pilih,-1
mungkin perintah cuma preventif saja pak dokter,0
baru mulai ikut chanel dokter love love mantap dok,1
dokter plis baca komen aku plis dok aku punya anak umur tahun sekarang dari umur tahun anak ku gatel terus gantung sama obat kalau enggak minum obat enggak tidur garuk terus apa enggak epek umur segitu terussan minum obat,-1
bulan agustus kemarin anak vaksin jangan jangan,0
tahu yang sudah jelasin dokter bukankah ginjal serang orang yang umur tahun atas tapi sekarang banyak anak orang yang muda kena ginjal seperti adik yang sudah tinggal karena ginjal bagai masyarakat bisa berdo a cari tahu utama,1
purut sih dok mungkin besar covid deh,1
iya dok orang banyak yang kepinteran yang akhir bodoh masyarakat,-1
kerja pusing saja,-1
tindak antisipasi tari obat bagai argumen yang melatarbelakangi kuat tindak bukti orang depkes masuk menteri bpom nya sangat kuasa riset malas laku riset cara benar sangat rugi masyarakat industri farmasi sangat hantam dampak apa pikir class action akibat tindak gegabah,-1
menkesnya sarjana fisika nuklir deh mau mengakak guling,0
cefixim cetirizin paracetamol apiyalis obat langgan anak ku kalo aku bawa rs,0
minum sachet sekolah sudah marak sekarang jual juga harus teliti,0
kidney failure salah satu side effect vaccine covid kemenkes haram banget buka investigasi arah sana,-1
contrexin buat sih kecil anak,1
perintah indonesia sangat mau tahu urusan orang,1
kalau skincare animate aman enggak dok,0
vakzin nya enggak cek sama bpom sama kemenkes,0
akal akal bisnis gelap ini,0
daftar lihat mana dok,0
assalamu alaikum dokter anak minggu sakit demam batuk pilek panas iya naik turun sudah obat kali dokter yang akhir di kasih obat iya kata dokter obat puyer sirup lagi di bolehin kata dokter iya alhamdulillah ubah panas iya turun kalau panas iya turun keluar keringat dingin telapak tangan sama kaki dingin terus terus lihat iya lemas efek bekas demam itu dok nafsu makan iya kurang anak umur tahun kurang bulan genap tahun iya bulan besok november,0
baik nya judul nya gagal ginjal bukan buat gagal ginjal,0
dok cara bagaimana atas orang alami hyperhidrosis menbuat asa percaya diri kalau aktivitas tempat umun laku sesuata depan umun mohon respon nya dok salam aku timor leste,0
biasa dok main perintah lagi,1
jaga pola makin cukup sehat cukup buat tubuh organ dalam tubuh dok kenapa kadang panas tinggi terus turun panas lagi padahal sudah minum obat anjur medis,-1
samping kopi gagal total kaca produk apa dok share dong manfaat nya,0
dok semua anak yang kena gagal ginjal lalu tinggal ambil sempel darah nya enggak buat teliti jadi tahu nya siapa tahu virus yang mati yang serang ginjal bukan obat,0
bpom bertangung jawab masalah banyak nyawa kenapa lolos lama kerja nya bagaimana,-1
bpom harus tgg jawab nya edar,0
mantap dok terus beri papar cerdas realistis soal kemenkes bpom cuma mengasih statement enggak jelas belit kayak menunggu korban anak anak yang lebih banyak dulu baru tindak makanya kalau enggak ahli dbidadangnya lebih baik undur diri jadi menteri terus usaha sehat sama bisnis jauh banget beda bos,-1
kasus ada buah main mana ada oknum main situasi bisa runtuh obat generik kasus jadi tahun tahun lalu aneh kok tempo minggu bisa mati serempak aneh kalo memang obat bap indonesia kena gagal ginjal apa kita pernah hadap kovid padahal obat kovid mengunakan obat turun panas logika kenapa enggak mati semua belum kovid sudah kovid kalo memang paracetamol bap,-1
ingat sama kasus bedak bayi enggak yang johnson apa nama lupa nyebapin bayi kena kanker sih ibu tuntut merk sebut adil menang adil akhir merk ganti rugi tarik edar kalau luar pakai larang indonesia saja dipakai jadi tanya kalau memang obat sirup gagal ginjal bahkan akut hanya tarik edar tidak tuntut merk sebut bahkan kelas johnson bawa adil orang ibu anak jadi korban kok indonesia banyak korban perintah cuma menarik saja kan kata kantong daftar sirup lalu kemenkes bpom bala bala apa iya tahan enggak sanksi apa apa kalau memang jadi ancam banyak korban jatuh masa enggak masuk penjara orang tua kalau lalai jaga anak lalu jadi karena kurang awas sebab anak cacat tinggal langsung penjara segitu orang tua kandung tidak sengaja lah usaha organisasi instansi perintah apa nama kok enggak yang tahan ngomong-ngomong semoga obat sirup bukan kambing hitam atas praktek ilegal yang benar tutup isu yang sebar ini benar efek vaksin yang paksa perintah semoga bukan,1
dari sini kayak dari richard lee appreciate sama perintah,1
dulu pernah kerja pharmacy besar besar bahan baku india karena murah lengkap regulasi mudah,1
dokterrrrrr,0
inti pbom asli kerja tidur ngelantur berbicara sembarangan terus mana selama,-1
selamat pagi dokter meminta link daftar nama obat kak,0
nyata status nya dokter yang sangat kenal dari richard mau ajak foto bahkan bukan sekali kali foto nya dari richard masih mengajak selfi salud buat dari richard,1
karena orang makan informasi yang kata kata kata makan isu bohong,-1
kalau bertanya lulus apa sih sih budi dulu,-1
aku tidak habis pikir padahal obat yang nyata larang tersebut tahun edar kasus gagal ginjal akut cuat apakah,-1
ujung rakyat jadi korban lumbrah,1
negara tidak jelas,0
minggu lalu anak ku bapil usia anak bulan aku kasih obat sirup unibaby sama puyer deg jdinya,0
bpom nya mana,0
jangan jangan karena vaksin kali dok siapa tahu kan sesuatu vaksin imunisasi nya obat vaksin juga cek atur bukan obat turun panas saja,1
sok tahu dokter,-1
produsen ketua bpom tangkap produsen produksi bpom izin edar,0
apoteker paham sama dokter awal berita bikin Cuma ketawa nang jadi tahu sih pak menkes bu bpom dampak cemas semua orang dokter mau kasih obat bingung buat anak lagi kalau bangkrut berapa banyak yang phk,-1
pilih dari richard lee jadi menteri sehat yang laennya sudah susah percaya ygy,-1
kok iya,1
jadi makan yang konsumsi kali jajan anak kan sekarang aneh,-1
terimakasih dok bagai orang tua jadi lebih paham,1
maaf dari menyipang ini dari jalur mau bertanya dari berapa hrga crem untuk kntong mata dan bagaimana cara order trimaksih dari,1
dok kalau vitamin bagaimana dok misal minyak ikan begitu dok,0
indonesia mah selalu saja konflik resah baru,-1
perintah kok diam saja kalo memang kenapa makan korban,-1
rokok enggak larang sudah jelas tulis ingat bahaya,-1
dokter specialist sepi dokter anak anak demam minum tempra sudah sembuh batuk minum bisolvon sembuh gilir sakit berat saja pakai bpjs tertawa modus lama mah belum percaya farmasi indonesia yang abal generic sakit enggak sembuh ginjal gosong menkes idi ida bpom semua buat hidup downgrade bukan bahkan upgrade mana kalian yakin paracetamol tablet strip harga ribu syrup hci ml harga ribu jangan sama farmasi abal pabrik surabaya sana buyer mead johnson yang amerika aku lihat kok yang boykott bahkan obat bagus maksudnya apa sepi omset,-1
terimakasih informasi pak dokter,1
sudah akal pamerintah saja sudah puluh tahu obat syirup anak jual apotik baru sekarang anak kena ginjal akut jangan apa semjak suntik vaksin yang banyak sakit macam mkny obat syirup tarik dengan alas ginjal akut enggak masuk akal,-1
semua yang dokter butun kayak bbrapa pernah kasih anak mulai dari paracetamol obat lambung obat batuk dan amoxilin sanmol syrup tiap panas anak aku minum ambroxol syrup antasida doen tempra proris konidin zync huffagrip dan bbrapa amoxilin,1
terima kasih dok atas cerah sehat selalu kita semua,1
semua makan minum obat obat indonesia check up sama bpom lalu bagaimana masalah jadi bpom lalai karena unsur politik mana perintah pasu produck obat an luar indonesia produk minum kemas ada larut loh lalu obat an saja yang di sita perintah bpom kalian sedang baik baik,0
terima kasih informasi dokter jadi paham mengerti sekarang semoga selalu sehat walafiat,1
dulu covid nyantai banyak negara sudah kena gilir begitu heboh langsung bikin putus sadar tidak itu jabat putus akibat rakyat toko obat kecil terkapar dok kalo obat indikasi deh dulu sakit ada katanya jangan grasak grusuk abai lah,-1
setuju sama dokter,1
pak cetirizine sirup anak minum tiap hari loh enggak apa-apa,0
dokter cantik ada hubung nya dokter farmasi obat,1
lebih percaya kalau minum kmsan yang bikin cepat gagal ginjal karena hampir tiap hari konsumsi kalau obat kan tidak terus konsumsi,-1
baru sekarang padahal bayi sampai sekarang kalo batuk minum obat batuk sirup,0
cara simpan obat buka berapa lama sih dok kayak salep sirup begitu karena kadang beli sirup bulan sudah buang padahal isi banyak eh buang butuh sirup tersebut,-1
pakai parasetamol sama sanmol hadeh proris juga enggak hadeh,-1
benar banget sih bpom nya bagaimana sih semua obat kan daftarin dia buat dpet nomor bpom eh sekarang tiba menarik produkk woyyyy dulu pas mengasih nomor memang enggak cek dulu,-1
anak jangan minumin obat terus kasihan,-1
alih kasus jenderal sambo xixixii kemarin alih sama kasus lesti bilar kdrt kurang greget ganti obat sirup hahaha,-1
Cuma mau bertanya ratarata anak gagal ginjal ekonomi orang tuanya bagaimana tengah atas ke bawah anak sakit karena firus dosis terlalu tinggi memberikanya air minum mineral kurang kasih air kurang steril beri obat sembarang jam belum makan jadi juga tahu anak di rawat lingkung bagaimana ada statistik jelas orang tua umur berapa milik bayi anak kecil balita batita alami seperti itu semua jelas,1
dok kalau anak kirang bulan kan kasih air minum arti minum asi saja terus dok,0
syukur alhamdulillah dari ricard informasi semoga manfaat kita semua,1
coba survey orang tua pasien di vaksin merek apa vaksin tingkat berapa psssttr kalau kerucut orang penting tendang ups,-1
usul presiden pak jokowi pecat menteri sehat nya wong jadi menteri sehat bukan ornk sehat nya tue,1
iku merk e kenal semua aneh deh,-1
paling cuma buat mngalihkan isu besar sudah biasa di indonesia kalau ada kasus besar nanti ada kasus yang buat lebih heboh untuk menutup kasus sebelumnya masyarakat enggak fokus sama kasus kemarin yang enggak kelar dan enggak dikelarin,1
beberapa merek setop karena uji awal untuk perijinan larut bawah batas tapi waktu ksus uji beberapa botol atas batas arti tidak konsistensi dalam produksi untuk pnyakit masih selidik kata sih tidak hubung dengan covid yang selidik sirup karena rujuk ksus rupa di luar dan pnyebab lain selidik setop beberapa merek tepat karena selidik henti dulu kmngkinan pnyebab,0
logika aku ini mengapa baru tahu sekarang terus bpom memang enggak meriksa kalo mau pada gagal ginjal mah dari dulu kali yang aneh banget termorex dari dulu aku kalo sakit panas diksih sama orang tua kenapa jadi dari obat kenapa enggak jadi dari makan apa begitu kalo enggak terbukti wah banget buat pt yang bikin obat itu sudah trcmar nama pt nya,-1
indonesia butuh banyak berita yang heboh alih saja,0
biasa guna obat baca tunjuk pakai yang paracetamol nya mana jelas bahaya mana dokter jelas demam turun henti kalau lanjur banyak minum air putih paracetamol henti insya allah aman gagal ginjal,1
syuka aku loh sama dokter richard enggak sombong orgnya,-1
dok itu apotek pertama ibu pada bingung lihat hahahaha dpikiran mereka nih laki mencari obat sirup enggak tahu berita apa bagaimana jangan tarzan balik kota enggak tahu informasi hahahaha muka itu pada lihat bingung enggak menahan deh,-1
nama wakanda kelas tolak angin herbal dewasa saja gaboleh beli kasihan orang usaha buat atur berbicara sembarangan,-1
sudah ketemu obat dok ujung jual obat alas cemar,1
bukan gara obat tahu nya ada virus kayak covid kemarin mudah enggak sih amin,-1
kita mengerti dong perintah arah mana kan lagi booming izajah palsu,1
kok richard saran nya dong menghilang jerawat yang bentuk bisul keloit sudah tahun lebih rasa jerawat rupa bisul,-1
menit ikut daftar lengkap obat sirup bahaya yang larang konsumsi yang jual apotik,0
obat sudah puluh tahun edar masyarakat pasti nya ssh uji lab bpom kenapa sekarang baru bilang efek samping yang bahaya,-1
tuju banget sama dokter richard,1
terus bagaimana dok anak lagu batuk pilek panas sudah kasih obat puyer biasa pakai obh combi anak,1
minum yang instan yang di band yang banyak kandung awet man buat nya,1
kata tempra aman sanmol aman tadi disebutin ah pusing jadi emak,-1
padahal sirup larang konsumsi sudah biasa konsumsi dulu belum pernah dengar berita kasus sebagai ggl ginjal tapi sejak adab covid semua jadi dikit dikit bahaya akan seperti kospirasi balik semua karena jadi di bagai bahan dunia,0
semoga karyawan usaha beri jalan yang terang ngomong-ngomong kapan menteri sehat jabat sama driver ojol yang kira lulus teknik sipil sekali out of the box,0
dari richard memang keren pokok lah salut sama dokter sudah tjakep ramah kalau profile gbu,1
habis lord luhud hadir obat tawar tenang saja rakyat indonesia,0
aduh ana kalau panas pakai sanmol syrup piye iki,-1
spill jajan anak dong dok,0
ken tahu obat yang list pas daftar pakai eg sama deg berapa kalau nyata awal enggak beda sama sekarang bagaimana arti apa,0
bukan efek vaksin anak kan dok soal kalau sirup dulu memang sudah dok bukti aman saja,0
kalau sudah banyak korban siapa tanggung jawab,-1
maaf dari dari richard konsultasi via wa gratis enggak,0
dulu waktu kamu kecil boz belum banyak obt sirup sekarang terlalu banyak produk jadi pngawasanya krang maksimal,1
ingat ajinomoto kratingdeng sekarang mas cari panggung terus masalah indonesia banyak yang selesai untuk hilang kan kasus kasus yang lagi jalan media jangan terlalu besar kan,-1
panik aku dok ome cough sama termo rex sudah biasa aku kasih anak karena terang dokter rasa panik ku sedikit obat terima kasih dok atas jelas nya,1
tsunami besar farmasi aku salah satu owner apotek dan memang rasa ah,1
salam karawang,0
lah kamu yang bikin bingung kenapa enggak dulu di teliti semua obat cair tablet vitamin ada efek samping tinggal lihat seberapalama pakai orang yang minum obat minum air putih cukup enggak enggak sih kalo misal bulan konsumsi obat bapil terus minum air putih sedikit iya jadi ngaruhnya ginjal,-1
bpom kok dari awal bisa cek obat kandung racun bisa di edar konsumsi anak anak main main sama nyawa orang,0
dari lee mau tan dong lama dari kan selalu saran semua orang percaya produk bpom nya salah produk yang enggak ada bpomnnya nah jadi dari lee lihat dong pastinnya bpom cara bijak juga stndarnnya arti lama standar dari lee kata atas produk ada bpomnya bagaimana mohon jawab di tanggap trimakasih,0
sumpah dok aku juga mikir alih isu kasus sambo cara mafia,0
anak anak pernah pakai termorex baik baik saja dok iya dok berapa lama deteksi puyer musuh besar anak anak diluar negeri baik baik saja iya enggak dengar yang heboh begini,1
jujur aku sendiri bawa anak obat rs atau puskesmas banyak sekali obat yang kasih wlwpn dosis dalam tahap aman tapi aku coba untuk enggak gantung jadi misal anak aku sakit demam bapil terus diksih obat antibiotik paracetamol obat batuk obat pilek vitamin macam obat yang kasih jujur yang aku ikan obat antibiotik paracetamol sedangkan vitamin aku sudah sendiri untuk anak jadi yang dokter aku enggak kasih kadang aku beli obat apotik gantung kondisi anak kalo anak sakit karena lelah aku biasa beli obat apotik tapi kalo anak aku sakit dan lihat lemas aku bawa rs biar periksa kalo kata dokter enggak apa-apa seperti yang aku bilang obat yang aku kasih antibiotik paracetamol vitamin telah pikir dengan kejdian ini obat puyer obat bubuk yang pahit yang puskesmas jauh lebih aman wlwpn pahit tapi enggak begitu kandung man buat,0
mohon maaf kalo komentar agak panjang turut yang awam mungkin sakit gagal ginjal akut minum makan yang sering konsumsi hari anak sekarang kan banyak konsumsi utama minum instant dalam kemas cup sachet minum soda yang banyak edar bahkan jual warung minum kan guna bahan man buat permen banyak yang pakai man buat kalo obat kan dosis nya hanya konsumsi sakit sedang minum makan tidak ada dosis lebih sering konsumsi hari yang sebab jadi lebih bahaya belum lagi kalo jarang minum air putih justru turut sangka lebih besar mungkin dari minum makan macam ingat dulu waktu anak pertama masih bayi aku pernah temu orang anak usia tahun sama orang tuanya di ruang tunggu dokter anak gendut banget nyata bukan gendut tapi badan bengkak akibat ginjal bocor cerita dari orang tuanya anak memang suka minum instant kemas cup minum soda susah minum air putih sebab ginjal bocor jadi lebih baik kalo sebagai orang tua juga lebih perhati makan minum yang konsumsi anak,-1
anak demam batuk pilek pakai salah satu sebut dokter richard memang keluh ginjal kanan kiri booming kasus kayak gini kira kurang air putih nyata memang benar duga kandung bahan bahaya,1
aku kalau bapil sama mbah dibikinin obat sendiri diri godok kapulaga campur sama kencur temulawak asa pakai gulabatu jeruk nipis rasa lebih enak obat batuk sirup sangat mujarap,1
dok benerin huruf r nya dong ikut gatel dengernya,1
apa karena efek vaksin,0
iya benar dokter bagaimana ini indonesia saja nanti apalagi ini kehebohn yang dtng lagi lelah bagai masyarakat saja yang bahas kan masyrkat jadi takut mau beli sirup padahal kan sirup manjur buat anak aku aplgi parasetamol,-1
mah obat obat yang pernah dipakai seluruh orang indonesia apa mudah mudah pada sehat iya,0
betull banget dok semua orang tua jadi ketakutn jmn dulu obt sirup parasetsmol kan ampuh banget cepat turun demam nya nah sekarang malah larang jadi obt apa ganti parasetamol,-1
curiga sama campur man buat dagang es jalan maupun outlet atau jajan,0
dok kalau tempra bagaimana kandung nya kalau tempra pahit anak mau minum sendiri di jawab,1
negara pintar vaksin pakai pfizer dan moderna dan nolak pakai vaksin buat cina vaksin trail eror pertama buat cina sinovac dulu bos vaksin pfizer pernah buat ingat kalau vaksin covid maksimal kali saja kalau maksa kali lebih tanggung sendiri akibat kalau ada kondisi khusus semua kacau karena rezim enak bikin regulasi maksa vaksin kali maksa anak bawah umur tahu dan pakai vaksin murah sinovac vaksin coba buat sendiri otoriter versi halus bikin regulasi syarat vaksin mana masuk mall sekolah tatap muka keluar kota kerja semua wajib vaksin kali sekarang masalahnya rezim enggak mengasih vaksin kualitas,-1
sama kayak bocor data ktp orang tri cuma menyalahkan rakyat terus tri buat apa tertawa,-1
tuhan elkana hupagrip sucralfate ibuprofen daily routine anak anak konsumsi dan masih stock yang di buka auto buang,0
sekarang anak banyak minum ringan mungkin situ bisa anak sekarang banyak yang enggak suka air putih mala minum minum ringan,1
